model,rank,lambda,epoch,optimizer,Clicks,NDCG,Precision@10,R-Precision,Recall@10
NCF,100,0.1,5,RMSProp,4.3361,0.0534,0.0152,0.0205,0.0993
NCF,100,0.1,10,RMSProp,3.8958,0.0972,0.026,0.0338,0.182
NCF,100,0.1,15,RMSProp,3.3372,0.1539,0.0407,0.0512,0.2915
NCF,100,0.1,20,RMSProp,2.9136,0.2024,0.051,0.0661,0.3697
NCF,100,0.1,25,RMSProp,2.6867,0.2515,0.0563,0.1181,0.4106
NCF,100,0.1,30,RMSProp,2.6892,0.2482,0.0569,0.1118,0.4135
NCF,100,0.1,35,RMSProp,2.6757,0.2424,0.058,0.1065,0.4167
NCF,100,0.1,40,RMSProp,2.6499,0.2511,0.0584,0.1139,0.4199
NCF,100,0.1,45,RMSProp,2.6505,0.2538,0.0584,0.1173,0.4189
NCF,100,0.1,50,RMSProp,2.6466,0.2546,0.0586,0.1179,0.4192
CNCF,200,0.1,5,RMSProp,4.2784,0.0674,0.0164,0.0252,0.1221
CNCF,200,0.1,10,RMSProp,4.0908,0.0635,0.0219,0.0097,0.1516
CNCF,200,0.1,15,RMSProp,3.3126,0.1589,0.0411,0.0539,0.2938
CNCF,200,0.1,20,RMSProp,2.6337,0.2522,0.0581,0.1162,0.4211
CNCF,200,0.1,25,RMSProp,2.6347,0.2558,0.0586,0.1193,0.4225
CNCF,200,0.1,30,RMSProp,2.6607,0.2539,0.0581,0.1195,0.4164
CNCF,200,0.1,35,RMSProp,2.6267,0.2571,0.059,0.1191,0.4248
CNCF,200,0.1,40,RMSProp,2.6544,0.2549,0.0581,0.1191,0.418
CNCF,200,0.1,45,RMSProp,2.6497,0.2551,0.0583,0.1191,0.4188
CNCF,200,0.1,50,RMSProp,2.6498,0.2542,0.0583,0.1179,0.4188
VNCF,100,0.01,5,RMSProp,4.484,0.0388,0.0121,0.0118,0.076
VNCF,100,0.01,10,RMSProp,3.9464,0.0967,0.024,0.0395,0.1732
VNCF,100,0.01,15,RMSProp,3.5335,0.142,0.0338,0.057,0.2496
VNCF,100,0.01,20,RMSProp,3.1361,0.1814,0.0441,0.0691,0.3249
VNCF,100,0.01,25,RMSProp,2.8783,0.2214,0.051,0.0951,0.3698
VNCF,100,0.01,30,RMSProp,2.8088,0.2407,0.0535,0.1162,0.3852
VNCF,100,0.01,35,RMSProp,2.7504,0.2482,0.0555,0.1183,0.3996
VNCF,100,0.01,40,RMSProp,2.8075,0.2392,0.0541,0.1139,0.3895
VNCF,100,0.01,45,RMSProp,2.8052,0.2388,0.0534,0.1146,0.3873
VNCF,100,0.01,50,RMSProp,2.8636,0.2265,0.0525,0.1049,0.3775
INCF,100,0.1,5,RMSProp,4.3446,0.0609,0.015,0.032,0.0983
INCF,100,0.1,10,RMSProp,3.9954,0.0874,0.023,0.0249,0.1694
INCF,100,0.1,15,RMSProp,3.6204,0.1227,0.0329,0.0363,0.2333
INCF,100,0.1,20,RMSProp,2.9577,0.2048,0.05,0.076,0.3586
INCF,100,0.1,25,RMSProp,2.7131,0.2408,0.0565,0.1073,0.4062
INCF,100,0.1,30,RMSProp,2.6593,0.2524,0.0581,0.1159,0.4171
INCF,100,0.1,35,RMSProp,2.6766,0.2517,0.0578,0.1169,0.4147
INCF,100,0.1,40,RMSProp,2.6496,0.2541,0.0586,0.1182,0.4195
INCF,100,0.1,45,RMSProp,2.6208,0.2577,0.0593,0.1193,0.426
INCF,100,0.1,50,RMSProp,2.6471,0.2543,0.0584,0.1179,0.4188
NCF,100,0.1,5,RMSProp,4.5159,0.0349,0.0116,0.0123,0.0675
NCF,100,0.1,10,RMSProp,4.0674,0.0782,0.0216,0.0254,0.1551
NCF,100,0.1,15,RMSProp,3.4512,0.1279,0.0378,0.032,0.2698
NCF,100,0.1,20,RMSProp,2.9683,0.2079,0.0503,0.0949,0.3597
NCF,100,0.1,25,RMSProp,2.6618,0.2571,0.0578,0.1204,0.4162
NCF,100,0.1,30,RMSProp,2.6376,0.2476,0.0588,0.1104,0.4233
NCF,100,0.1,35,RMSProp,2.6743,0.2494,0.0581,0.1166,0.4148
NCF,100,0.1,40,RMSProp,2.6657,0.2531,0.0581,0.1182,0.4167
NCF,100,0.1,45,RMSProp,2.6769,0.2536,0.0577,0.119,0.4143
NCF,100,0.1,50,RMSProp,2.6545,0.2542,0.0584,0.1179,0.4184
CNCF,200,0.1,5,RMSProp,4.3716,0.0519,0.0143,0.0162,0.1028
CNCF,200,0.1,10,RMSProp,3.9699,0.0745,0.0253,0.0137,0.1743
CNCF,200,0.1,15,RMSProp,3.1009,0.1682,0.0469,0.0479,0.3402
CNCF,200,0.1,20,RMSProp,2.6669,0.2491,0.0571,0.1149,0.4147
CNCF,200,0.1,25,RMSProp,2.6805,0.2526,0.0573,0.1175,0.4129
CNCF,200,0.1,30,RMSProp,2.6295,0.2568,0.0589,0.1185,0.4241
CNCF,200,0.1,35,RMSProp,2.6244,0.257,0.0589,0.1191,0.4244
CNCF,200,0.1,40,RMSProp,2.6596,0.2537,0.0581,0.1174,0.4172
CNCF,200,0.1,45,RMSProp,2.652,0.2548,0.0581,0.1191,0.4179
CNCF,200,0.1,50,RMSProp,2.6565,0.2515,0.0581,0.1165,0.4173
VNCF,100,0.01,5,RMSProp,4.2806,0.064,0.016,0.0234,0.1209
VNCF,100,0.01,10,RMSProp,3.9899,0.0921,0.0227,0.0293,0.1743
VNCF,100,0.01,15,RMSProp,3.4837,0.1586,0.0342,0.0741,0.2606
VNCF,100,0.01,20,RMSProp,3.1033,0.2015,0.0448,0.0927,0.3261
VNCF,100,0.01,25,RMSProp,2.992,0.2058,0.0491,0.1017,0.3505
VNCF,100,0.01,30,RMSProp,2.8013,0.2419,0.0532,0.1186,0.3856
VNCF,100,0.01,35,RMSProp,2.8324,0.2363,0.0531,0.1127,0.3799
VNCF,100,0.01,40,RMSProp,2.7753,0.2428,0.0553,0.114,0.397
VNCF,100,0.01,45,RMSProp,2.8012,0.2314,0.0538,0.1068,0.3884
VNCF,100,0.01,50,RMSProp,2.8454,0.2238,0.0529,0.1006,0.3807
INCF,100,0.1,5,RMSProp,4.277,0.0676,0.0166,0.0295,0.1159
INCF,100,0.1,10,RMSProp,4.002,0.0918,0.0232,0.0304,0.1689
INCF,100,0.1,15,RMSProp,3.449,0.1387,0.0382,0.0446,0.2662
INCF,100,0.1,20,RMSProp,2.8942,0.2091,0.0521,0.0799,0.3742
INCF,100,0.1,25,RMSProp,2.6656,0.253,0.058,0.12,0.4153
INCF,100,0.1,30,RMSProp,2.6882,0.2571,0.057,0.121,0.4098
INCF,100,0.1,35,RMSProp,2.6716,0.2542,0.0579,0.1188,0.4155
INCF,100,0.1,40,RMSProp,2.659,0.255,0.0583,0.1191,0.4178
INCF,100,0.1,45,RMSProp,2.6639,0.2512,0.0581,0.117,0.4162
INCF,100,0.1,50,RMSProp,2.657,0.2541,0.0583,0.1181,0.4181
NCF,100,0.1,5,RMSProp,4.3212,0.05,0.016,0.0139,0.1019
NCF,100,0.1,10,RMSProp,3.7655,0.1042,0.0289,0.0322,0.2069
NCF,100,0.1,15,RMSProp,3.1996,0.1561,0.0438,0.0381,0.3201
NCF,100,0.1,20,RMSProp,2.9085,0.2137,0.0515,0.0842,0.3685
NCF,100,0.1,25,RMSProp,2.7098,0.2431,0.0569,0.1087,0.4067
NCF,100,0.1,30,RMSProp,2.7086,0.2407,0.057,0.1075,0.4093
NCF,100,0.1,35,RMSProp,2.7131,0.2464,0.0567,0.1129,0.406
NCF,100,0.1,40,RMSProp,2.6775,0.2491,0.0575,0.1139,0.4134
NCF,100,0.1,45,RMSProp,2.6676,0.2536,0.0581,0.118,0.4154
NCF,100,0.1,50,RMSProp,2.6536,0.2554,0.0585,0.1188,0.4185
CNCF,200,0.1,5,RMSProp,4.3059,0.0551,0.0156,0.0148,0.1092
CNCF,200,0.1,10,RMSProp,3.974,0.0728,0.025,0.0102,0.1738
CNCF,200,0.1,15,RMSProp,3.0643,0.1836,0.0473,0.0617,0.3422
CNCF,200,0.1,20,RMSProp,2.6288,0.2632,0.0585,0.1248,0.4232
CNCF,200,0.1,25,RMSProp,2.6491,0.2551,0.0581,0.1181,0.4206
CNCF,200,0.1,30,RMSProp,2.6463,0.2529,0.0585,0.1165,0.4219
CNCF,200,0.1,35,RMSProp,2.6598,0.2537,0.0581,0.1178,0.4172
CNCF,200,0.1,40,RMSProp,2.6503,0.2547,0.0583,0.1195,0.4187
CNCF,200,0.1,45,RMSProp,2.6523,0.2539,0.0581,0.1179,0.4179
CNCF,200,0.1,50,RMSProp,2.6517,0.2549,0.0581,0.1186,0.4178
